quarter,year,quarter_number,quarter_start,local_authority,completions
2022Q4,2022,4,2022-10-01,Longford County Council,27
2022Q4,2022,4,2022-10-01,Louth County Council,199
2022Q4,2022,4,2022-10-01,Limerick City & County Council,210
2022Q4,2022,4,2022-10-01,Leitrim County Council,23
2022Q4,2022,4,2022-10-01,Laois County Council,205
2022Q4,2022,4,2022-10-01,Meath County Council,648
2022Q4,2022,4,2022-10-01,Monaghan County Council,118
2022Q4,2022,4,2022-10-01,Mayo County Council,120
2022Q4,2022,4,2022-10-01,Offaly County Council,122
2022Q4,2022,4,2022-10-01,Roscommon County Council,67
2022Q4,2022,4,2022-10-01,South Dublin County Council,622
2022Q4,2022,4,2022-10-01,Sligo County Council,68
2022Q4,2022,4,2022-10-01,Tipperary County Council,165
2022Q4,2022,4,2022-10-01,Waterford City & County Council,198
2022Q4,2022,4,2022-10-01,Westmeath County Council,96
2022Q4,2022,4,2022-10-01,Wicklow County Council,631
2022Q4,2022,4,2022-10-01,Wexford County Council,283
2023Q1,2023,1,2023-01-01,Cork City Council,260
2023Q1,2023,1,2023-01-01,Clare County Council,102
2023Q1,2023,1,2023-01-01,Cavan County Council,55
2023Q1,2023,1,2023-01-01,Cork County Council,473
2023Q1,2023,1,2023-01-01,Carlow County Council,41
2023Q1,2023,1,2023-01-01,Dublin City Council,506
2023Q1,2023,1,2023-01-01,Dún Laoghaire Rathdown County Council,879
2023Q1,2023,1,2023-01-01,Donegal County Council,138
2023Q1,2023,1,2023-01-01,Fingal County Council,407
2023Q1,2023,1,2023-01-01,Galway County Council,184
2023Q1,2023,1,2023-01-01,Galway City Council,93
2023Q1,2023,1,2023-01-01,Kildare County Council,599
2023Q1,2023,1,2023-01-01,Kilkenny County Council,78
2023Q1,2023,1,2023-01-01,Kerry County Council,116
2023Q1,2023,1,2023-01-01,Longford County Council,17
2023Q1,2023,1,2023-01-01,Louth County Council,169
2023Q1,2023,1,2023-01-01,Limerick City & County Council,205
2023Q1,2023,1,2023-01-01,Leitrim County Council,37
2023Q1,2023,1,2023-01-01,Laois County Council,109
2023Q1,2023,1,2023-01-01,Meath County Council,280
2023Q1,2023,1,2023-01-01,Monaghan County Council,66
2023Q1,2023,1,2023-01-01,Mayo County Council,112
2023Q1,2023,1,2023-01-01,Offaly County Council,103
2023Q1,2023,1,2023-01-01,Roscommon County Council,37
2023Q1,2023,1,2023-01-01,South Dublin County Council,716
2023Q1,2023,1,2023-01-01,Sligo County Council,43
2023Q1,2023,1,2023-01-01,Tipperary County Council,119
2023Q1,2023,1,2023-01-01,Waterford City & County Council,132
2023Q1,2023,1,2023-01-01,Westmeath County Council,52
2023Q1,2023,1,2023-01-01,Wicklow County Council,268
2023Q1,2023,1,2023-01-01,Wexford County Council,228
2023Q2,2023,2,2023-04-01,Cork City Council,303
2023Q2,2023,2,2023-04-01,Clare County Council,83
2023Q2,2023,2,2023-04-01,Cavan County Council,42
2023Q2,2023,2,2023-04-01,Cork County Council,525
2023Q2,2023,2,2023-04-01,Carlow County Council,54
2023Q2,2023,2,2023-04-01,Dublin City Council,522
2023Q2,2023,2,2023-04-01,Dún Laoghaire Rathdown County Council,808
2023Q2,2023,2,2023-04-01,Donegal County Council,165
2023Q2,2023,2,2023-04-01,Fingal County Council,550
2023Q2,2023,2,2023-04-01,Galway County Council,269
2023Q2,2023,2,2023-04-01,Galway City Council,74
2023Q2,2023,2,2023-04-01,Kildare County Council,757
2023Q2,2023,2,2023-04-01,Kilkenny County Council,94
2023Q2,2023,2,2023-04-01,Kerry County Council,188
2023Q2,2023,2,2023-04-01,Longford County Council,18
2023Q2,2023,2,2023-04-01,Louth County Council,195
2023Q2,2023,2,2023-04-01,Limerick City & County Council,147
2023Q2,2023,2,2023-04-01,Leitrim County Council,21
2023Q2,2023,2,2023-04-01,Laois County Council,226
2023Q2,2023,2,2023-04-01,Meath County Council,404
2023Q2,2023,2,2023-04-01,Monaghan County Council,52
2023Q2,2023,2,2023-04-01,Mayo County Council,139
2023Q2,2023,2,2023-04-01,Offaly County Council,95
2023Q2,2023,2,2023-04-01,Roscommon County Council,47
2023Q2,2023,2,2023-04-01,South Dublin County Council,467
2023Q2,2023,2,2023-04-01,Sligo County Council,79
2023Q2,2023,2,2023-04-01,Tipperary County Council,116
2023Q2,2023,2,2023-04-01,Waterford City & County Council,167
2023Q2,2023,2,2023-04-01,Westmeath County Council,61
2023Q2,2023,2,2023-04-01,Wicklow County Council,347
2023Q2,2023,2,2023-04-01,Wexford County Council,237
2023Q3,2023,3,2023-07-01,Cork City Council,156
2023Q3,2023,3,2023-07-01,Clare County Council,95
2023Q3,2023,3,2023-07-01,Cavan County Council,92
2023Q3,2023,3,2023-07-01,Cork County Council,538
2023Q3,2023,3,2023-07-01,Carlow County Council,55
2023Q3,2023,3,2023-07-01,Dublin City Council,888
2023Q3,2023,3,2023-07-01,Dún Laoghaire Rathdown County Council,636
2023Q3,2023,3,2023-07-01,Donegal County Council,189
2023Q3,2023,3,2023-07-01,Fingal County Council,773
2023Q3,2023,3,2023-07-01,Galway County Council,283
2023Q3,2023,3,2023-07-01,Galway City Council,110
2023Q3,2023,3,2023-07-01,Kildare County Council,576
2023Q3,2023,3,2023-07-01,Kilkenny County Council,125
2023Q3,2023,3,2023-07-01,Kerry County Council,140
2023Q3,2023,3,2023-07-01,Longford County Council,29
2023Q3,2023,3,2023-07-01,Louth County Council,271
2023Q3,2023,3,2023-07-01,Limerick City & County Council,194
2023Q3,2023,3,2023-07-01,Leitrim County Council,17
2023Q3,2023,3,2023-07-01,Laois County Council,167
2023Q3,2023,3,2023-07-01,Meath County Council,402
2023Q3,2023,3,2023-07-01,Monaghan County Council,62
2023Q3,2023,3,2023-07-01,Mayo County Council,125
2023Q3,2023,3,2023-07-01,Offaly County Council,120
2023Q3,2023,3,2023-07-01,Roscommon County Council,40
2023Q3,2023,3,2023-07-01,South Dublin County Council,1263
2023Q3,2023,3,2023-07-01,Sligo County Council,64
2023Q3,2023,3,2023-07-01,Tipperary County Council,139
2023Q3,2023,3,2023-07-01,Waterford City & County Council,116
2023Q3,2023,3,2023-07-01,Westmeath County Council,109
2023Q3,2023,3,2023-07-01,Wicklow County Council,411
2023Q3,2023,3,2023-07-01,Wexford County Council,202
2023Q4,2023,4,2023-10-01,Cork City Council,319
2023Q4,2023,4,2023-10-01,Clare County Council,123
2023Q4,2023,4,2023-10-01,Cavan County Council,70
2023Q4,2023,4,2023-10-01,Cork County Council,521
2023Q4,2023,4,2023-10-01,Carlow County Council,89
2023Q4,2023,4,2023-10-01,Dublin City Council,1514
2023Q4,2023,4,2023-10-01,Dún Laoghaire Rathdown County Council,1239
2023Q4,2023,4,2023-10-01,Donegal County Council,142
2023Q4,2023,4,2023-10-01,Fingal County Council,627
2023Q4,2023,4,2023-10-01,Galway County Council,219
2023Q4,2023,4,2023-10-01,Galway City Council,80
2023Q4,2023,4,2023-10-01,Kildare County Council,774
2023Q4,2023,4,2023-10-01,Kilkenny County Council,255
2023Q4,2023,4,2023-10-01,Kerry County Council,167
2023Q4,2023,4,2023-10-01,Longford County Council,55
2023Q4,2023,4,2023-10-01,Louth County Council,446
2023Q4,2023,4,2023-10-01,Limerick City & County Council,242
2023Q4,2023,4,2023-10-01,Leitrim County Council,25
2023Q4,2023,4,2023-10-01,Laois County Council,241
2023Q4,2023,4,2023-10-01,Meath County Council,453
2023Q4,2023,4,2023-10-01,Monaghan County Council,54
2023Q4,2023,4,2023-10-01,Mayo County Council,143
2023Q4,2023,4,2023-10-01,Offaly County Council,225
2023Q4,2023,4,2023-10-01,Roscommon County Council,70
2023Q4,2023,4,2023-10-01,South Dublin County Council,788
2023Q4,2023,4,2023-10-01,Sligo County Council,76
2023Q4,2023,4,2023-10-01,Tipperary County Council,133
2023Q4,2023,4,2023-10-01,Waterford City & County Council,138
2023Q4,2023,4,2023-10-01,Westmeath County Council,275
2023Q4,2023,4,2023-10-01,Wicklow County Council,401
2023Q4,2023,4,2023-10-01,Wexford County Council,296
2024Q1,2024,1,2024-01-01,Cork City Council,237
2024Q1,2024,1,2024-01-01,Clare County Council,127
2024Q1,2024,1,2024-01-01,Cavan County Council,50
2024Q1,2024,1,2024-01-01,Cork County Council,458
2024Q1,2024,1,2024-01-01,Carlow County Council,57
2024Q1,2024,1,2024-01-01,Dublin City Council,490
2024Q1,2024,1,2024-01-01,Dún Laoghaire Rathdown County Council,380
2024Q1,2024,1,2024-01-01,Donegal County Council,125
2024Q1,2024,1,2024-01-01,Fingal County Council,293
2024Q1,2024,1,2024-01-01,Galway County Council,210
2024Q1,2024,1,2024-01-01,Galway City Council,66
2024Q1,2024,1,2024-01-01,Kildare County Council,272
2024Q1,2024,1,2024-01-01,Kilkenny County Council,119
2024Q1,2024,1,2024-01-01,Kerry County Council,72
2024Q1,2024,1,2024-01-01,Longford County Council,32
2024Q1,2024,1,2024-01-01,Louth County Council,176
2024Q1,2024,1,2024-01-01,Limerick City & County Council,191
2024Q1,2024,1,2024-01-01,Leitrim County Council,18
2024Q1,2024,1,2024-01-01,Laois County Council,144
2024Q1,2024,1,2024-01-01,Meath County Council,467
2024Q1,2024,1,2024-01-01,Monaghan County Council,65
2024Q1,2024,1,2024-01-01,Mayo County Council,82
2024Q1,2024,1,2024-01-01,Offaly County Council,97
2024Q1,2024,1,2024-01-01,Roscommon County Council,56
2024Q1,2024,1,2024-01-01,South Dublin County Council,696
2024Q1,2024,1,2024-01-01,Sligo County Council,39
2024Q1,2024,1,2024-01-01,Tipperary County Council,95
2024Q1,2024,1,2024-01-01,Waterford City & County Council,147
2024Q1,2024,1,2024-01-01,Westmeath County Council,88
2024Q1,2024,1,2024-01-01,Wicklow County Council,274
2024Q1,2024,1,2024-01-01,Wexford County Council,168
2024Q2,2024,2,2024-04-01,Cork City Council,301
2024Q2,2024,2,2024-04-01,Clare County Council,102
2024Q2,2024,2,2024-04-01,Cavan County Council,69
2024Q2,2024,2,2024-04-01,Cork County Council,532
2024Q2,2024,2,2024-04-01,Carlow County Council,66
2024Q2,2024,2,2024-04-01,Dublin City Council,578
2024Q2,2024,2,2024-04-01,Dún Laoghaire Rathdown County Council,439
2024Q2,2024,2,2024-04-01,Donegal County Council,138
2024Q2,2024,2,2024-04-01,Fingal County Council,343
2024Q2,2024,2,2024-04-01,Galway County Council,260
2024Q2,2024,2,2024-04-01,Galway City Council,74
2024Q2,2024,2,2024-04-01,Kildare County Council,344
2024Q2,2024,2,2024-04-01,Kilkenny County Council,109
2024Q2,2024,2,2024-04-01,Kerry County Council,102
2024Q2,2024,2,2024-04-01,Longford County Council,41
2024Q2,2024,2,2024-04-01,Louth County Council,241
2024Q2,2024,2,2024-04-01,Limerick City & County Council,224
2024Q2,2024,2,2024-04-01,Leitrim County Council,31
2024Q2,2024,2,2024-04-01,Laois County Council,129
2024Q2,2024,2,2024-04-01,Meath County Council,381
2024Q2,2024,2,2024-04-01,Monaghan County Council,64
2024Q2,2024,2,2024-04-01,Mayo County Council,160
2024Q2,2024,2,2024-04-01,Offaly County Council,62
2024Q2,2024,2,2024-04-01,Roscommon County Council,33
2024Q2,2024,2,2024-04-01,South Dublin County Council,701
2024Q2,2024,2,2024-04-01,Sligo County Council,51
2024Q2,2024,2,2024-04-01,Tipperary County Council,168
2024Q2,2024,2,2024-04-01,Waterford City & County Council,203
2024Q2,2024,2,2024-04-01,Westmeath County Council,184
2024Q2,2024,2,2024-04-01,Wicklow County Council,406
2024Q2,2024,2,2024-04-01,Wexford County Council,272
2024Q3,2024,3,2024-07-01,Cork City Council,306
2024Q3,2024,3,2024-07-01,Clare County Council,159
2024Q3,2024,3,2024-07-01,Cavan County Council,60
2024Q3,2024,3,2024-07-01,Cork County Council,677
2024Q3,2024,3,2024-07-01,Carlow County Council,47
2024Q3,2024,3,2024-07-01,Dublin City Council,1125
2024Q3,2024,3,2024-07-01,Dún Laoghaire Rathdown County Council,604
2024Q3,2024,3,2024-07-01,Donegal County Council,178
2024Q3,2024,3,2024-07-01,Fingal County Council,691
2024Q3,2024,3,2024-07-01,Galway County Council,246
2024Q3,2024,3,2024-07-01,Galway City Council,37
2024Q3,2024,3,2024-07-01,Kildare County Council,350
2024Q3,2024,3,2024-07-01,Kilkenny County Council,116
2024Q3,2024,3,2024-07-01,Kerry County Council,130
2024Q3,2024,3,2024-07-01,Longford County Council,34
2024Q3,2024,3,2024-07-01,Louth County Council,362
2024Q3,2024,3,2024-07-01,Limerick City & County Council,356
2024Q3,2024,3,2024-07-01,Leitrim County Council,19
2024Q3,2024,3,2024-07-01,Laois County Council,232
2024Q3,2024,3,2024-07-01,Meath County Council,309
2024Q3,2024,3,2024-07-01,Monaghan County Council,86
2024Q3,2024,3,2024-07-01,Mayo County Council,143
2024Q3,2024,3,2024-07-01,Offaly County Council,123
2024Q3,2024,3,2024-07-01,Roscommon County Council,50
2024Q3,2024,3,2024-07-01,South Dublin County Council,1309
2024Q3,2024,3,2024-07-01,Sligo County Council,39
2024Q3,2024,3,2024-07-01,Tipperary County Council,100
2024Q3,2024,3,2024-07-01,Waterford City & County Council,224
2024Q3,2024,3,2024-07-01,Westmeath County Council,112
2024Q3,2024,3,2024-07-01,Wicklow County Council,296
2024Q3,2024,3,2024-07-01,Wexford County Council,354
2024Q4,2024,4,2024-10-01,Cork City Council,375
2024Q4,2024,4,2024-10-01,Clare County Council,146
2024Q4,2024,4,2024-10-01,Cavan County Council,64
2024Q4,2024,4,2024-10-01,Cork County Council,645
2024Q4,2024,4,2024-10-01,Carlow County Council,100
2024Q4,2024,4,2024-10-01,Dublin City Council,1155
2024Q4,2024,4,2024-10-01,Dún Laoghaire Rathdown County Council,602
2024Q4,2024,4,2024-10-01,Donegal County Council,188
2024Q4,2024,4,2024-10-01,Fingal County Council,1099
2024Q4,2024,4,2024-10-01,Galway County Council,246
2024Q4,2024,4,2024-10-01,Galway City Council,96
2024Q4,2024,4,2024-10-01,Kildare County Council,456
2024Q4,2024,4,2024-10-01,Kilkenny County Council,158
2024Q4,2024,4,2024-10-01,Kerry County Council,173
2024Q4,2024,4,2024-10-01,Longford County Council,19
2024Q4,2024,4,2024-10-01,Louth County Council,391
2024Q4,2024,4,2024-10-01,Limerick City & County Council,230
2024Q4,2024,4,2024-10-01,Leitrim County Council,50
2024Q4,2024,4,2024-10-01,Laois County Council,148
2024Q4,2024,4,2024-10-01,Meath County Council,462
2024Q4,2024,4,2024-10-01,Monaghan County Council,38
2024Q4,2024,4,2024-10-01,Mayo County Council,186
2024Q4,2024,4,2024-10-01,Offaly County Council,111
2024Q4,2024,4,2024-10-01,Roscommon County Council,56
2024Q4,2024,4,2024-10-01,South Dublin County Council,374
2024Q4,2024,4,2024-10-01,Sligo County Council,72
2024Q4,2024,4,2024-10-01,Tipperary County Council,118
2024Q4,2024,4,2024-10-01,Waterford City & County Council,165
2024Q4,2024,4,2024-10-01,Westmeath County Council,96
2024Q4,2024,4,2024-10-01,Wicklow County Council,362
2024Q4,2024,4,2024-10-01,Wexford County Council,270
2025Q1,2025,1,2025-01-01,Cork City Council,278
2025Q1,2025,1,2025-01-01,Clare County Council,129
2025Q1,2025,1,2025-01-01,Cavan County Council,57
2025Q1,2025,1,2025-01-01,Cork County Council,442
2025Q1,2025,1,2025-01-01,Carlow County Council,25
2025Q1,2025,1,2025-01-01,Dublin City Council,683
2025Q1,2025,1,2025-01-01,Dún Laoghaire Rathdown County Council,241
2025Q1,2025,1,2025-01-01,Donegal County Council,116
2025Q1,2025,1,2025-01-01,Fingal County Council,620
2025Q1,2025,1,2025-01-01,Galway County Council,206
2025Q1,2025,1,2025-01-01,Galway City Council,89
2025Q1,2025,1,2025-01-01,Kildare County Council,416
2025Q1,2025,1,2025-01-01,Kilkenny County Council,122
2025Q1,2025,1,2025-01-01,Kerry County Council,91
2025Q1,2025,1,2025-01-01,Longford County Council,19
2025Q1,2025,1,2025-01-01,Louth County Council,215
2025Q1,2025,1,2025-01-01,Limerick City & County Council,174
2025Q1,2025,1,2025-01-01,Leitrim County Council,11
2025Q1,2025,1,2025-01-01,Laois County Council,139
2025Q1,2025,1,2025-01-01,Meath County Council,298
2025Q1,2025,1,2025-01-01,Monaghan County Council,70
2025Q1,2025,1,2025-01-01,Mayo County Council,101
2025Q1,2025,1,2025-01-01,Offaly County Council,100
2025Q1,2025,1,2025-01-01,Roscommon County Council,36
2025Q1,2025,1,2025-01-01,South Dublin County Council,353
2025Q1,2025,1,2025-01-01,Sligo County Council,54
2025Q1,2025,1,2025-01-01,Tipperary County Council,116
2025Q1,2025,1,2025-01-01,Waterford City & County Council,164
2025Q1,2025,1,2025-01-01,Westmeath County Council,75
2025Q1,2025,1,2025-01-01,Wicklow County Council,305
2025Q1,2025,1,2025-01-01,Wexford County Council,162
2025Q2,2025,2,2025-04-01,Cork City Council,327
2025Q2,2025,2,2025-04-01,Clare County Council,187
2025Q2,2025,2,2025-04-01,Cavan County Council,80
2025Q2,2025,2,2025-04-01,Cork County Council,510
2025Q2,2025,2,2025-04-01,Carlow County Council,52
2025Q2,2025,2,2025-04-01,Dublin City Council,1149
2025Q2,2025,2,2025-04-01,Dún Laoghaire Rathdown County Council,827
2025Q2,2025,2,2025-04-01,Donegal County Council,154
2025Q2,2025,2,2025-04-01,Fingal County Council,1201
2025Q2,2025,2,2025-04-01,Galway County Council,220
2025Q2,2025,2,2025-04-01,Galway City Council,98
2025Q2,2025,2,2025-04-01,Kildare County Council,407
2025Q2,2025,2,2025-04-01,Kilkenny County Council,143
2025Q2,2025,2,2025-04-01,Kerry County Council,221
2025Q2,2025,2,2025-04-01,Longford County Council,21
2025Q2,2025,2,2025-04-01,Louth County Council,417
2025Q2,2025,2,2025-04-01,Limerick City & County Council,221
2025Q2,2025,2,2025-04-01,Leitrim County Council,36
2025Q2,2025,2,2025-04-01,Laois County Council,230
2025Q2,2025,2,2025-04-01,Meath County Council,482
2025Q2,2025,2,2025-04-01,Monaghan County Council,63
2025Q2,2025,2,2025-04-01,Mayo County Council,98
2025Q2,2025,2,2025-04-01,Offaly County Council,67
2025Q2,2025,2,2025-04-01,Roscommon County Council,28
2025Q2,2025,2,2025-04-01,South Dublin County Council,626
2025Q2,2025,2,2025-04-01,Sligo County Council,145
2025Q2,2025,2,2025-04-01,Tipperary County Council,210
2025Q2,2025,2,2025-04-01,Waterford City & County Council,134
2025Q2,2025,2,2025-04-01,Westmeath County Council,236
2025Q2,2025,2,2025-04-01,Wicklow County Council,273
2025Q2,2025,2,2025-04-01,Wexford County Council,289
2025Q3,2025,3,2025-07-01,Cork City Council,495
2025Q3,2025,3,2025-07-01,Clare County Council,145
2025Q3,2025,3,2025-07-01,Cavan County Council,115
2025Q3,2025,3,2025-07-01,Cork County Council,540
2025Q3,2025,3,2025-07-01,Carlow County Council,47
2025Q3,2025,3,2025-07-01,Dublin City Council,905
2025Q3,2025,3,2025-07-01,Dún Laoghaire Rathdown County Council,488
2025Q3,2025,3,2025-07-01,Donegal County Council,173
2025Q3,2025,3,2025-07-01,Fingal County Council,758
2025Q3,2025,3,2025-07-01,Galway County Council,277
2025Q3,2025,3,2025-07-01,Galway City Council,120
2025Q3,2025,3,2025-07-01,Kildare County Council,497
2025Q3,2025,3,2025-07-01,Kilkenny County Council,84
2025Q3,2025,3,2025-07-01,Kerry County Council,193
2025Q3,2025,3,2025-07-01,Longford County Council,35
2025Q3,2025,3,2025-07-01,Louth County Council,325
2025Q3,2025,3,2025-07-01,Limerick City & County Council,233
2025Q3,2025,3,2025-07-01,Leitrim County Council,17
2025Q3,2025,3,2025-07-01,Laois County Council,231
2025Q3,2025,3,2025-07-01,Meath County Council,618
2025Q3,2025,3,2025-07-01,Monaghan County Council,88
2025Q3,2025,3,2025-07-01,Mayo County Council,123
2025Q3,2025,3,2025-07-01,Offaly County Council,75
2025Q3,2025,3,2025-07-01,Roscommon County Council,64
2025Q3,2025,3,2025-07-01,South Dublin County Council,1168
2025Q3,2025,3,2025-07-01,Sligo County Council,117
2025Q3,2025,3,2025-07-01,Tipperary County Council,218
2025Q3,2025,3,2025-07-01,Waterford City & County Council,211
2025Q3,2025,3,2025-07-01,Westmeath County Council,223
2025Q3,2025,3,2025-07-01,Wicklow County Council,336
2025Q3,2025,3,2025-07-01,Wexford County Council,278
2025Q4,2025,4,2025-10-01,Cork City Council,398
2025Q4,2025,4,2025-10-01,Clare County Council,163
2025Q4,2025,4,2025-10-01,Cavan County Council,98
2025Q4,2025,4,2025-10-01,Cork County Council,725
2025Q4,2025,4,2025-10-01,Carlow County Council,98
2025Q4,2025,4,2025-10-01,Dublin City Council,1782
2025Q4,2025,4,2025-10-01,Dún Laoghaire Rathdown County Council,483
2025Q4,2025,4,2025-10-01,Donegal County Council,237
2025Q4,2025,4,2025-10-01,Fingal County Council,1028
2025Q4,2025,4,2025-10-01,Galway County Council,356
2025Q4,2025,4,2025-10-01,Galway City Council,107
2025Q4,2025,4,2025-10-01,Kildare County Council,854
2025Q4,2025,4,2025-10-01,Kilkenny County Council,172
2025Q4,2025,4,2025-10-01,Kerry County Council,217
2025Q4,2025,4,2025-10-01,Longford County Council,23
2025Q4,2025,4,2025-10-01,Louth County Council,582
2025Q4,2025,4,2025-10-01,Limerick City & County Council,238
2025Q4,2025,4,2025-10-01,Leitrim County Council,60
2025Q4,2025,4,2025-10-01,Laois County Council,243
2025Q4,2025,4,2025-10-01,Meath County Council,734
2025Q4,2025,4,2025-10-01,Monaghan County Council,94
2025Q4,2025,4,2025-10-01,Mayo County Council,176
2025Q4,2025,4,2025-10-01,Offaly County Council,81
2025Q4,2025,4,2025-10-01,Roscommon County Council,96
2025Q4,2025,4,2025-10-01,South Dublin County Council,1369
2025Q4,2025,4,2025-10-01,Sligo County Council,75
2025Q4,2025,4,2025-10-01,Tipperary County Council,258
2025Q4,2025,4,2025-10-01,Waterford City & County Council,211
2025Q4,2025,4,2025-10-01,Westmeath County Council,206
2025Q4,2025,4,2025-10-01,Wicklow County Council,464
2025Q4,2025,4,2025-10-01,Wexford County Council,331
2026Q1,2026,1,2026-01-01,Cork City Council,408
2026Q1,2026,1,2026-01-01,Clare County Council,151
2026Q1,2026,1,2026-01-01,Cavan County Council,75
2026Q1,2026,1,2026-01-01,Cork County Council,644
2026Q1,2026,1,2026-01-01,Carlow County Council,49
2026Q1,2026,1,2026-01-01,Dublin City Council,1013
2026Q1,2026,1,2026-01-01,Dún Laoghaire Rathdown County Council,349
2026Q1,2026,1,2026-01-01,Donegal County Council,229
2026Q1,2026,1,2026-01-01,Fingal County Council,432
2026Q1,2026,1,2026-01-01,Galway County Council,261
2026Q1,2026,1,2026-01-01,Galway City Council,103
2026Q1,2026,1,2026-01-01,Kildare County Council,505
2026Q1,2026,1,2026-01-01,Kilkenny County Council,169
2026Q1,2026,1,2026-01-01,Kerry County Council,201
2026Q1,2026,1,2026-01-01,Longford County Council,33
2026Q1,2026,1,2026-01-01,Louth County Council,449
2026Q1,2026,1,2026-01-01,Limerick City & County Council,140
2026Q1,2026,1,2026-01-01,Leitrim County Council,33
2026Q1,2026,1,2026-01-01,Laois County Council,243
2026Q1,2026,1,2026-01-01,Meath County Council,246
2026Q1,2026,1,2026-01-01,Monaghan County Council,79
2026Q1,2026,1,2026-01-01,Mayo County Council,130
2026Q1,2026,1,2026-01-01,Offaly County Council,59
2026Q1,2026,1,2026-01-01,Roscommon County Council,68
2026Q1,2026,1,2026-01-01,South Dublin County Council,743
2026Q1,2026,1,2026-01-01,Sligo County Council,73
2026Q1,2026,1,2026-01-01,Tipperary County Council,181
2026Q1,2026,1,2026-01-01,Waterford City & County Council,177
2026Q1,2026,1,2026-01-01,Westmeath County Council,57
2026Q1,2026,1,2026-01-01,Wicklow County Council,265
2026Q1,2026,1,2026-01-01,Wexford County Council,291
2026Q2,2026,2,2026-04-01,Cork City Council,390
2026Q2,2026,2,2026-04-01,Clare County Council,178
2026Q2,2026,2,2026-04-01,Cavan County Council,108
2026Q2,2026,2,2026-04-01,Cork County Council,509
2026Q2,2026,2,2026-04-01,Carlow County Council,99
2026Q2,2026,2,2026-04-01,Dublin City Council,1280
2026Q2,2026,2,2026-04-01,Dún Laoghaire Rathdown County Council,307
2026Q2,2026,2,2026-04-01,Donegal County Council,204
2026Q2,2026,2,2026-04-01,Fingal County Council,1020
2026Q2,2026,2,2026-04-01,Galway County Council,237
2026Q2,2026,2,2026-04-01,Galway City Council,41
2026Q2,2026,2,2026-04-01,Kildare County Council,592
2026Q2,2026,2,2026-04-01,Kilkenny County Council,172
2026Q2,2026,2,2026-04-01,Kerry County Council,193
2026Q2,2026,2,2026-04-01,Longford County Council,64
2026Q2,2026,2,2026-04-01,Louth County Council,476
2026Q2,2026,2,2026-04-01,Limerick City & County Council,185
2026Q2,2026,2,2026-04-01,Leitrim County Council,32
2026Q2,2026,2,2026-04-01,Laois County Council,208
2026Q2,2026,2,2026-04-01,Meath County Council,461
2026Q2,2026,2,2026-04-01,Monaghan County Council,92
2026Q2,2026,2,2026-04-01,Mayo County Council,115
2026Q2,2026,2,2026-04-01,Offaly County Council,145
2026Q2,2026,2,2026-04-01,Roscommon County Council,74
2026Q2,2026,2,2026-04-01,South Dublin County Council,573
2026Q2,2026,2,2026-04-01,Sligo County Council,112
2026Q2,2026,2,2026-04-01,Tipperary County Council,169
2026Q2,2026,2,2026-04-01,Waterford City & County Council,151
2026Q2,2026,2,2026-04-01,Westmeath County Council,168
2026Q2,2026,2,2026-04-01,Wicklow County Council,198
2026Q2,2026,2,2026-04-01,Wexford County Council,270
